companies-house-bulk	https://download.companieshouse.gov.uk/en_output.html
companies-house-psc	https://download.companieshouse.gov.uk/en_pscdata.html
gazette-insolvency	https://www.thegazette.co.uk/insolvency/notice/data.json?results-page-size=10
gazette-all	https://www.thegazette.co.uk/all-notices/notice/data.json?results-page-size=5
planning-data-api	https://www.planning.data.gov.uk/entity.json?dataset=developer-agreement-contribution&limit=5
planning-data-datasets	https://www.planning.data.gov.uk/dataset.json
planning-data-title	https://www.planning.data.gov.uk/entity.json?dataset=title-boundary&limit=2
ea-flood-monitoring	https://environment.data.gov.uk/flood-monitoring/id/stations?_limit=5
ea-rainfall	https://environment.data.gov.uk/flood-monitoring/id/stations?parameter=rainfall&_limit=5
ea-hydrology	https://environment.data.gov.uk/hydrology/id/stations?_limit=5
ea-water-quality	https://environment.data.gov.uk/water-quality/id/sampling-point?_limit=5
ea-catchment-data	https://environment.data.gov.uk/catchment-planning/So/OperationalCatchment/3000.json
ea-asset-mgmt	https://environment.data.gov.uk/asset-management/id/flood-defence?_limit=5
ea-ecology	https://environment.data.gov.uk/ecology/api/v1/sites?_limit=5
neso-ckan	https://api.neso.energy/api/3/action/package_list
neso-tec	https://api.neso.energy/api/3/action/datastore_search?resource_id=17becbab-e3e8-473f-b303-3806f43a6a10&limit=3
ons-geo-portal	https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services?f=json
ons-api-beta	https://api.beta.ons.gov.uk/v1/datasets?limit=3
nomis-api	https://www.nomisweb.co.uk/api/v01/dataset/def.sdmx.json
police-api	https://data.police.uk/api/forces
police-street	https://data.police.uk/api/crimes-street-dates
fsa-api	https://api.ratings.food.gov.uk/Authorities/basic
nhs-ods-api	https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations?Limit=5
legislation-api	https://www.legislation.gov.uk/ukpga/2023/54/data.xml
parliament-members	https://members-api.parliament.uk/api/Members/Search?take=3
find-a-tender-ocds	https://www.find-tender.service.gov.uk/api/1.0/ocdsReleasePackages?limit=5
contracts-finder-ocds	https://www.contractsfinder.service.gov.uk/Published/Notices/OCDS/Search?limit=5
hmlr-price-paid	http://prod.publicdata.landregistry.gov.uk.s3-website-eu-west-1.amazonaws.com/pp-monthly-update-new-version.csv
hmlr-ppd-sparql	https://landregistry.data.gov.uk/landregistry/query
hmlr-ocod	https://use-land-property-data.service.gov.uk/datasets/ocod
cqc-locations	https://www.cqc.org.uk/sites/default/files/2026-01/01_January_2026_HSCA_Active_Locations.xlsx
cqc-syndication	https://api.service.cqc.org.uk/public/v1/locations?perPage=3
gias-search	https://get-information-schools.service.gov.uk/Downloads
dfe-ees-api	https://data.api.explore-education-statistics.service.gov.uk/api/v1/publications?page=1&pageSize=3
ofcom-connected-nations	https://www.ofcom.org.uk/phones-and-broadband/coverage-and-speeds/connected-nations-2025/
bduk-omr	https://www.gov.uk/government/publications/january-2026-omr-and-premises-in-bduk-plans-england-and-wales
os-open-uprn	https://api.os.uk/downloads/v1/products/OpenUPRN
os-downloads-list	https://api.os.uk/downloads/v1/products
osm-nominatim	https://nominatim.openstreetmap.org/status.json
defra-edm	https://environment.data.gov.uk/portalstg/sharing/rest/content/items/045af51b3e6d47b19cff70cccf697b2f/data
defra-data-services	https://environment.data.gov.uk/
naptan	https://naptan.api.dft.gov.uk/v1/access-nodes?dataFormat=csv
bods-timetables	https://data.bus-data.dft.gov.uk/api/v1/dataset/
charity-register	https://register-of-charities.charitycommission.gov.uk/en/download-charity-data
charity-api	https://api.charitycommission.gov.uk/register/api/allcharitydetailsV2/1234/0
insolvency-service	https://www.gov.uk/government/collections/insolvency-service-official-statistics
epc-domestic	https://epc.opendatacommunities.org/api/v1/domestic/search?size=2
uk-air-defra	https://uk-air.defra.gov.uk/openair/
ukhsa-dashboard	https://api.ukhsa-dashboard.data.gov.uk/themes
nhs-england-stats	https://www.england.nhs.uk/statistics/statistical-work-areas/
data-gov-uk-ckan	https://ckan.publishing.service.gov.uk/api/3/action/package_search?q=planning&rows=3
