fsa-api-v2	https://api.ratings.food.gov.uk/Authorities/basic	x-api-version: 2
cqc-locations-page	https://www.cqc.org.uk/about-us/transparency/using-cqc-data	-
ea-water-quality-2	https://environment.data.gov.uk/water-quality/id/sampling-point.json?_limit=3	-
ea-aims-assets	https://environment.data.gov.uk/asset-management/id/asset?_limit=3	-
ea-catchment-2	https://environment.data.gov.uk/catchment-planning/OperationalCatchment/3000	-
ea-bathing	https://environment.data.gov.uk/doc/bathing-water-quality/in-season/sample.json?_limit=3	-
ea-public-register	https://environment.data.gov.uk/public-register/view/search-industrial-installations	-
defra-edm-2024	https://environment.data.gov.uk/dataset/21e15f12-0df8-4bfc-b763-45226c16a8ac	-
defra-magic	https://magic.defra.gov.uk/	-
osm-nominatim-2	https://nominatim.openstreetmap.org/search?q=London&format=json&limit=1	-
ons-postcode-dir	https://www.arcgis.com/sharing/rest/content/items?f=json	-
ons-geoportal-search	https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD_DEC_2024_UK_BFC/FeatureServer/0?f=json	-
ons-nomis-lsoa	https://www.nomisweb.co.uk/api/v01/dataset/NM_2010_1.def.sdmx.json	-
dfe-ees-api-2	https://api.education.gov.uk/statistics/v1/publications?page=1&pageSize=3	-
dfe-ees-tables	https://explore-education-statistics.service.gov.uk/api/publications?page=1	-
gias-download-page	https://get-information-schools.service.gov.uk/Downloads	Mozilla/5.0
gias-establishment-csv	https://ea-edubase-api-prod.azurewebsites.net/edubase/downloads/public/edubasealldata20260817.csv	-
ofcom-cn-data	https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/multi-sector/infrastructure-research/connected-nations-2025/	-
epc-domestic-check	https://epc.opendatacommunities.org/	-
hmlr-ppd-sparql-2	https://landregistry.data.gov.uk/landregistry/query?query=SELECT%20*%20WHERE%20%7B%3Fs%20%3Fp%20%3Fo%7D%20LIMIT%201&output=json	-
hmlr-ppd-linked	https://landregistry.data.gov.uk/data/ppi/transaction-record.json?_pageSize=2	-
hmlr-ukhpi	https://landregistry.data.gov.uk/data/ukhpi/region/england/month/2026-01.json	-
statxplore	https://stat-xplore.dwp.gov.uk/webapi/rest/v1/info	-
statswales	https://statswales.gov.wales/api/dataset/v1/school-capacity	-
nrscotland	https://www.nrscotland.gov.uk/statistics-and-data/statistics/	-
nisra	https://www.nisra.gov.uk/	-
pins-appeals	https://www.gov.uk/government/collections/planning-inspectorate-statistics	-
desnz-subnational	https://www.gov.uk/government/collections/sub-national-electricity-consumption-data	-
neso-embedded-cap	https://api.neso.energy/api/3/action/package_show?id=embedded-capacity-registers	-
neso-gsp	https://api.neso.energy/api/3/action/package_search?q=grid+supply+point&rows=3	-
nesta-open	https://www.nationalgrid.co.uk/downloads	-
ukpn-opendata	https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets?limit=3	-
ssen-opendata	https://data.ssen.co.uk/api/explore/v2.1/catalog/datasets?limit=3	-
northernpowergrid	https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets?limit=3	-
enwl-opendata	https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets?limit=3	-
spen-opendata	https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets?limit=3	-
nged-opendata	https://connecteddata.nationalgrid.co.uk/api/explore/v2.1/catalog/datasets?limit=3	-
gazette-company	https://www.thegazette.co.uk/all-notices/notice/data.json?text=administration&results-page-size=3	-
ch-advanced-search	https://find-and-update.company-information.service.gov.uk/advanced-search/get-results?companyNameIncludes=dexter	-
ch-streaming-doc	https://developer-specs.company-information.service.gov.uk/streaming-api/reference	-
llc-hmlr	https://search-local-land-charges.service.gov.uk/	-
food-hygiene-la	https://api.ratings.food.gov.uk/Establishments?pageSize=2	x-api-version: 2
nhs-ods-search	https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations?PrimaryRoleId=RO177&Limit=3	-
ukhsa-metrics	https://api.ukhsa-dashboard.data.gov.uk/themes/infectious_disease/sub_themes	-
data-gov-uk-search	https://ckan.publishing.service.gov.uk/api/3/action/package_search?q=flood&rows=3	-
parliament-bills	https://bills-api.parliament.uk/api/v1/Bills?take=3	-
parliament-written	https://questions-statements-api.parliament.uk/api/writtenquestions/questions?take=3	-
legislation-search	https://www.legislation.gov.uk/all/data.feed?title=planning	-
naptan-json	https://naptan.api.dft.gov.uk/v1/access-nodes?dataFormat=json&atcoAreaCodes=940	-
dft-road-safety	https://data.dft.gov.uk/road-accidents-safety-data/dft-road-casualty-statistics-collision-2023.csv	-
